           v_1       v_2       v_3       v_4       v_5       v_6       v_7       v_8       v_9      v_10      v_11      v_12
v_1   1.000000  0.034992  0.017991 -0.068015  0.016575 -0.015199 -0.014215 -0.068540  0.033461 -0.310662  0.027240 -0.015173
v_2   0.034992  1.000000 -0.009104 -0.158127  0.044527 -0.012004  0.010540  0.033758  0.027899 -0.080050  0.067800  0.017820
v_3   0.017991 -0.009104  1.000000 -0.061660  0.003407 -0.011163 -0.012977  0.014378  0.015544 -0.023079  0.152369 -0.041635
v_4  -0.068015 -0.158127 -0.061660  1.000000  0.023195 -0.025440  0.004983 -0.261276 -0.344603  0.216576 -0.067112  0.035754
v_5   0.016575  0.044527  0.003407  0.023195  1.000000  0.045562  0.000780 -0.034721 -0.053225 -0.035839  0.003400  0.061583
v_6  -0.015199 -0.012004 -0.011163 -0.025440  0.045562  1.000000  0.107712  0.251345  0.292373  0.110774 -0.037073 -0.023933
v_7  -0.014215  0.010540 -0.012977  0.004983  0.000780  0.107712  1.000000  0.054262  0.053538  0.033899  0.016363  0.004752
v_8  -0.068540  0.033758  0.014378 -0.261276 -0.034721  0.251345  0.054262  1.000000  0.633113  0.155192 -0.021554 -0.092520
v_9   0.033461  0.027899  0.015544 -0.344603 -0.053225  0.292373  0.053538  0.633113  1.000000 -0.054039 -0.077541 -0.117557
v_10 -0.310662 -0.080050 -0.023079  0.216576 -0.035839  0.110774  0.033899  0.155192 -0.054039  1.000000 -0.011781  0.019457
v_11  0.027240  0.067800  0.152369 -0.067112  0.003400 -0.037073  0.016363 -0.021554 -0.077541 -0.011781  1.000000  0.333679
v_12 -0.015173  0.017820 -0.041635  0.035754  0.061583 -0.023933  0.004752 -0.092520 -0.117557  0.019457  0.333679  1.000000
